ext_guid,actor_label,datasmith_handle,selection_source,business_type,business_type_name,object_type_rid,hierarchy_path,source_actor_count,render_part_count,mirrored_source_actor_count,assembly_signature,ue_path
AC9AA739-4430-147A-F72D-76870E04724A,YJ-9ER001,648549,candidate,aviation_weapon,航空武器/弹药,zhhz.aviation_weapon,航空展馆/航空武器与弹药,17,14,6,dd7434fab53f7cc0eb825ca9f5d8a876,0713/YJ-9ER001
472F7456-4AAD-E796-A08A-F9A248BECEB0,YJ-9ER002,648566,candidate,aviation_weapon,航空武器/弹药,zhhz.aviation_weapon,航空展馆/航空武器与弹药,17,14,6,dfc99941d5b122515bb752955a7b780c,0713/YJ-9ER002
33E72302-4496-671F-22D6-9EB794BD97CB,YR20A,151186,candidate,fixed_wing_aircraft,固定翼航空器,zhhz.fixed_wing_aircraft,航空展馆/固定翼航空器,68,67,0,a4d572fad6826ecacf1bf9c420e45124,0713/YR20A
4D41B4D8-4D82-E378-5FAE-93A4AC1C2250,Z-11EB,384527,candidate,rotorcraft,旋翼航空器,zhhz.rotorcraft,航空展馆/旋翼航空器,92,75,0,68b8f4fc784d4c886706aab8d089ed57,0713/Z-11EB
A5902439-4E24-F3C1-5C93-9F8A2F08CC18,Z-18F,101798,candidate,rotorcraft,旋翼航空器,zhhz.rotorcraft,航空展馆/旋翼航空器,16,15,6,6c84e79d40d45a7f8f4b105d1280f78e,0713/Z-18F
ADD88FD5-428A-F0AF-A797-78BC4713FD06,Z-19,1671,candidate,rotorcraft,旋翼航空器,zhhz.rotorcraft,航空展馆/旋翼航空器,11,10,0,838d66598167e0da7a51dc4e23d61501,0713/Z-19
C82F1503-4B03-7C70-9B5A-79B144168CC1,Z-20,101533,candidate,rotorcraft,旋翼航空器,zhhz.rotorcraft,航空展馆/旋翼航空器,7,6,0,17fb8fa8ca1dc462353e587b6fcb5376,0713/Z-20
BADFFEA0-48C0-AC86-F22B-1B8406BED1EC,Z-20F,394001,candidate,rotorcraft,旋翼航空器,zhhz.rotorcraft,航空展馆/旋翼航空器,7,6,0,37f607e4d7e29fdfc869038ae13c691a,0713/Z-20F
0F07F422-4CB5-2DD7-A46F-B8A8564A6B02,Z-20J,111943,candidate,rotorcraft,旋翼航空器,zhhz.rotorcraft,航空展馆/旋翼航空器,7,6,0,3626585dd542077ead2f4c9e3dee7e91,0713/Z-20J
2A8C0928-47E7-E3F9-7264-4B9484D0DF85,Z-20T,393998,candidate,rotorcraft,旋翼航空器,zhhz.rotorcraft,航空展馆/旋翼航空器,7,6,0,7cdce394bdddc82298b641ae628e57b4,0713/Z-20T
EBA35AB3-4C66-E4CA-F8D5-5DBF4ECF918E,Z-8C,69551,candidate,rotorcraft,旋翼航空器,zhhz.rotorcraft,航空展馆/旋翼航空器,16,15,6,9274f17120c6faf661e5fad4c1f2c0a6,0713/Z-8C
0F41E1E9-43B0-971F-18FA-BAB96376DD80,Z-9ME,487937,candidate,rotorcraft,旋翼航空器,zhhz.rotorcraft,航空展馆/旋翼航空器,16,15,0,f00f2b9d030c4f02ede9ed576857d79e,0713/Z-9ME
6E10A173-4916-0F5E-4CFD-C69D4126E896,Z-9ME001,487955,candidate,rotorcraft,旋翼航空器,zhhz.rotorcraft,航空展馆/旋翼航空器,16,15,0,012db238eea22d06e9839a717b3d4a1f,0713/Z-9ME001
9BB5EA90-4E1A-3A3E-7F3F-6B988A2CF83E,Z-9ME002,619785,candidate,rotorcraft,旋翼航空器,zhhz.rotorcraft,航空展馆/旋翼航空器,16,15,0,29b62a2d06a58b5ee0a28fd41442fa02,0713/Z-9ME002
E5CF5774-46F9-BAE4-D230-23BE7533AA43,Z-9WE,487098,candidate,rotorcraft,旋翼航空器,zhhz.rotorcraft,航空展馆/旋翼航空器,130,113,0,b5899d452329c8113ba3c2cac5b938ea,0713/Z-9WE
1DA37C6F-4526-1A13-B921-BABFE76DA3F9,Z8LLLLL002,77273,supplemental,rotorcraft,旋翼航空器,zhhz.rotorcraft,航空展馆/旋翼航空器,70,63,21,e33211013ebd3d3ce0a2f003401c166a,0713/Z8LLLLL002
359757BC-444A-751A-2FBE-0C85FC750553,ZB__K-8,38265,candidate,fixed_wing_aircraft,固定翼航空器,zhhz.fixed_wing_aircraft,航空展馆/固定翼航空器,81,80,0,4d62426bd91a835cbc94fec9cc23ff24,0713/ZB__K-8
48753186-4D05-DC9B-A06B-05A071319935,eVTOL综合航电,659217,candidate,avionics_sensor,航电/传感器/对抗设备,zhhz.avionics_sensor,航空展馆/航电、传感器与对抗设备,13,11,0,6e768434183860091aa0128edac3d56c,0713/eVTOL综合航电
83A918FF-496B-EC80-DD4A-CCA371AF2D17,九天_多用途无人母鸡_,260170,candidate,unmanned_new_aircraft,无人/新型航空器,zhhz.unmanned_new_aircraft,航空展馆/无人及新型航空器,20,17,10,629c5834621af486d776569884517084,0713/九天_多用途无人母鸡_
2DEAF5DF-421B-4D9D-01D9-A18FED62307E,先进直升机飞控系统综合展示座舱,211982,candidate,cockpit_simulator,座舱/模拟训练系统,zhhz.cockpit_simulator,航空展馆/座舱与模拟训练系统,38,33,13,82a8b76e345c94b3704f632fdc04ecec,0713/先进直升机飞控系统综合展示座舱
49047E30-4726-520E-8355-F18F077D7FEF,光剑11A,554220,candidate,aviation_weapon,航空武器/弹药,zhhz.aviation_weapon,航空展馆/航空武器与弹药,12,10,0,ec5ea80b5a9780cf0c9ee49266157413,0713/光剑11A
