group_key,count,sample_actor_labels,source_folder_path,asset_path,actor_class_path,assembly_signature,render_part_count,total_render_part_count,source_actor_count,unsupported_component_count,unsupported_component_types,risk_flags,suggested_object_type_rid,suggested_object_type_name,hierarchy_path,classification_status,action,notes
assembly_signature:e52386e032462117289ac2a4b5722775,1,Cylinder32241487,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cylinder32241487.Cylinder32241487,/Script/Engine.StaticMeshActor,e52386e032462117289ac2a4b5722775,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 explicit support + all Cone/Cylinder
assembly_signature:e52679c759d33a6db9743f4cff0d97c7,1,Cylinder32241227,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cylinder32241227.Cylinder32241227,/Script/Engine.StaticMeshActor,e52679c759d33a6db9743f4cff0d97c7,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 explicit support + all Cone/Cylinder
assembly_signature:e53f5c180e7487a1b8482c8aeaf5f704,1,Cylinder32239137,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cylinder32239137.Cylinder32239137,/Script/Engine.StaticMeshActor,e53f5c180e7487a1b8482c8aeaf5f704,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 explicit support + all Cone/Cylinder
assembly_signature:e542dd1e7135deb3ca8e455341454bf8,1,Cylinder32238225,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cylinder32238225.Cylinder32238225,/Script/Engine.StaticMeshActor,e542dd1e7135deb3ca8e455341454bf8,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 explicit support + all Cone/Cylinder
assembly_signature:e54ebf76e887bd588bd325ddd5eb4993,1,Cylinder32240083,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cylinder32240083.Cylinder32240083,/Script/Engine.StaticMeshActor,e54ebf76e887bd588bd325ddd5eb4993,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 explicit support + all Cone/Cylinder
assembly_signature:e55523fef837c1a4bfa3a10b04639b1b,1,Cylinder32237791,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cylinder32237791.Cylinder32237791,/Script/Engine.StaticMeshActor,e55523fef837c1a4bfa3a10b04639b1b,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 explicit support + all Cone/Cylinder
assembly_signature:e55b577fdaca111b91b437796a247d3b,1,Cylinder32238644,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cylinder32238644.Cylinder32238644,/Script/Engine.StaticMeshActor,e55b577fdaca111b91b437796a247d3b,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 explicit support + all Cone/Cylinder
assembly_signature:e564e9fc553d91196c337909b124d61d,1,Cylinder32239623,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cylinder32239623.Cylinder32239623,/Script/Engine.StaticMeshActor,e564e9fc553d91196c337909b124d61d,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 explicit support + all Cone/Cylinder
assembly_signature:e56e291de0c6246f5b15fca5c4bf3d1b,1,Cylinder32239129,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cylinder32239129.Cylinder32239129,/Script/Engine.StaticMeshActor,e56e291de0c6246f5b15fca5c4bf3d1b,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 explicit support + all Cone/Cylinder
assembly_signature:e56eaf535ac0ebd317b58db74a5028a6,1,Cylinder32241491,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cylinder32241491.Cylinder32241491,/Script/Engine.StaticMeshActor,e56eaf535ac0ebd317b58db74a5028a6,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 explicit support + all Cone/Cylinder
assembly_signature:e59887dc31706d89d4b60fc5ca652276,1,Cylinder32239762,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cylinder32239762.Cylinder32239762,/Script/Engine.StaticMeshActor,e59887dc31706d89d4b60fc5ca652276,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 explicit support + all Cone/Cylinder
assembly_signature:e59f7f505886dd64af8bfee89e368221,1,Cylinder32241378,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cylinder32241378.Cylinder32241378,/Script/Engine.StaticMeshActor,e59f7f505886dd64af8bfee89e368221,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 explicit support + all Cone/Cylinder
assembly_signature:e5a29e0761f26eb5daf710cd1e2c8f9a,1,Cylinder32240472,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cylinder32240472.Cylinder32240472,/Script/Engine.StaticMeshActor,e5a29e0761f26eb5daf710cd1e2c8f9a,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 explicit support + all Cone/Cylinder
assembly_signature:e5aa93b9adc9862d31014c0d80d81dbf,1,Cylinder32237610,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cylinder32237610.Cylinder32237610,/Script/Engine.StaticMeshActor,e5aa93b9adc9862d31014c0d80d81dbf,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 explicit support + all Cone/Cylinder
assembly_signature:e5cb7f038b3509fb74be444c920db1eb,1,Cylinder32237975,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cylinder32237975.Cylinder32237975,/Script/Engine.StaticMeshActor,e5cb7f038b3509fb74be444c920db1eb,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 explicit support + all Cone/Cylinder
assembly_signature:e5cc124e5e607618d6b28484d1398556,1,Cylinder32237578,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cylinder32237578.Cylinder32237578,/Script/Engine.StaticMeshActor,e5cc124e5e607618d6b28484d1398556,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 explicit support + all Cone/Cylinder
